model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
panopticon,dfc2020,s2s1,fft,20,0.0001,0.0,32,mIoU,55.7018,52.3463,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260417_232850.pt
panopticon,dfc2020,s2_rgb,fft,20,0.001,0.01,32,mIoU,52.1775,41.3588,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.001,0.0001,32,mIoU,51.9148,46.0558,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.001,0.0,32,mIoU,52.1896,43.9930,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0005,0.01,32,mIoU,53.5286,46.5548,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0005,0.0001,32,mIoU,52.7713,43.2758,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0005,0.0,32,mIoU,53.6403,50.3625,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0001,0.01,32,mIoU,54.2349,45.8218,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0001,0.0001,32,mIoU,54.5672,45.4977,98982152,
panopticon,dfc2020,s2_rgb,fft,20,0.0001,0.0,32,mIoU,54.0276,46.2033,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.01,32,mIoU,53.5117,49.6302,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.0001,32,mIoU,54.8793,50.7542,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.001,0.0,32,mIoU,53.8483,50.1280,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.01,32,mIoU,54.8114,52.8492,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.0001,32,mIoU,54.2306,50.3254,98982152,
panopticon,dfc2020,s2_rgb+s2_norgb,fft,20,0.0005,0.0,32,mIoU,54.3831,51.7076,98982152,
olmoearth-base,dfc2020,s2_norgb,fft,16,0.0003,0.0,32,mIoU,58.4233,52.9124,88962056,
panopticon,dfc2020,s2_norgb,fft,16,0.0003,0.0,32,mIoU,55.4334,51.2816,98982152,
panopticon,dfc2020,s2_norgb,fft,20,0.001,0.01,32,mIoU,53.9295,46.8804,98982152,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.001,0.01,32,mIoU,58.1714,52.7319,88962056,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.001,0.0001,32,mIoU,58.9870,54.0143,88962056,
panopticon,dfc2020,s2_norgb,fft,20,0.001,0.0001,32,mIoU,54.3952,44.4888,98982152,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.001,0.0,32,mIoU,57.7481,52.3316,88962056,
panopticon,dfc2020,s2_norgb,fft,20,0.001,0.0,32,mIoU,53.7132,39.5747,98982152,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0005,0.01,32,mIoU,58.2116,53.7058,88962056,
panopticon,dfc2020,s2_norgb,fft,20,0.0005,0.01,32,mIoU,55.0912,49.2887,98982152,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0005,0.0001,32,mIoU,57.9836,53.1656,88962056,
panopticon,dfc2020,s2_norgb,fft,20,0.0005,0.0001,32,mIoU,54.6825,50.7305,98982152,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0005,0.0,32,mIoU,58.3957,53.4453,88962056,
panopticon,dfc2020,s2_norgb,fft,20,0.0005,0.0,32,mIoU,54.9721,49.4994,98982152,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0001,0.01,32,mIoU,58.3626,55.6263,88962056,
panopticon,dfc2020,s2_norgb,fft,20,0.0001,0.01,32,mIoU,55.3137,50.4022,98982152,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0001,0.0001,32,mIoU,58.2984,53.9162,88962056,
panopticon,dfc2020,s2_norgb,fft,20,0.0001,0.0001,32,mIoU,54.6482,49.6684,98982152,
olmoearth-base,dfc2020,s2_norgb,fft,20,0.0001,0.0,32,mIoU,58.6063,53.7337,88962056,
panopticon,dfc2020,s2_norgb,fft,20,0.0001,0.0,32,mIoU,55.7130,48.4878,98982152,
olmoearth-large,dfc2020,s2_norgb,fft,20,0.001,0.01,32,mIoU,58.5391,50.0812,307781640,
olmoearth-large,dfc2020,s2_norgb,fft,20,0.001,0.0001,32,mIoU,58.8114,50.2513,307781640,
olmoearth-large,dfc2020,s2_norgb,fft,20,0.001,0.0,32,mIoU,57.6692,52.5152,307781640,
olmoearth-large,dfc2020,s2_norgb,fft,20,0.0005,0.01,32,mIoU,59.3371,53.1529,307781640,
