wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,modality_dropout_startmod,modality_dropout_newmod,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,unprotect_starting_mod,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
e9b4fuk0,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00034069028730679846,,0.002030469300051101,64,0.3,0.3026605748665935,0.4609978890168197,0.24278012030495796,0.0,0.5,False,True,True,0.253417266810928,0.6660941026704477,0.7316581376896356,0.6293432767304517,144580646,latent+prefusion+distill+ce,,64.40,51.85,53.45,49.98,77.90,49.84,69.62,51.84,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
8xjs9s4m,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0003463945083384478,,0.006869786319657566,64,0.3,0.20293391925219884,0.37157743528049914,0.4984683867078789,0.0,0.0,False,True,False,0.2562768157419371,0.7811801836470232,0.5088902011745424,0.6515852014748794,144580646,latent+prefusion+distill+ce,,68.15,53.11,52.63,49.14,72.40,49.57,68.40,47.38,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
dksy6w02,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,3.042464566139138e-05,,0.00012887306553697938,64,0.3,0.264002608095824,0.3853650228060784,0.1918271996652806,0.0,0.5,False,True,True,0.14750525841572887,0.9030408659430412,0.31691998132609767,0.2794271341699119,144580646,latent+prefusion+distill+ce,,62.25,50.20,52.96,48.47,78.15,49.09,68.45,52.73,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
o5wheomk,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.000500803601129193,,0.006229278010152031,64,0.3,0.3323718408519595,0.10453129073443326,0.393715169297678,0.0,1.0,False,True,False,0.22099658451856705,0.7726432937182437,0.3942038300155467,0.39034125769849026,144580646,latent+prefusion+distill+ce,,63.45,49.28,51.79,48.49,72.95,48.58,66.97,51.12,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
znfh4bwf,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,2.7543635808211683e-05,,0.0006572971660296291,64,0.3,0.43934089090888384,0.11291432579765366,0.3116897445685848,0.0,0.5,False,True,True,0.18031586765215984,0.7661552679814112,0.96367854027247,0.21414804506075777,144580646,latent+prefusion+distill+ce,,65.15,49.84,52.31,48.02,77.15,48.85,67.20,51.72,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
9d4lov05,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00018083335589494511,,2.801300737662324e-05,64,0.3,0.1587600835852746,0.4316356016639866,0.14942320513371143,0.0,1.0,False,True,True,0.10589561500762036,0.46253100913427114,0.3933274871242239,0.6267092113655683,144580646,latent+prefusion+distill+ce,,66.70,51.69,53.80,49.58,78.40,49.04,71.57,52.57,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
r1c2deuw,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0002441511972696781,,0.010984283865689405,64,0.3,0.3066501642806408,0.4986807770637538,0.2754785158489788,0.0,0.0,False,True,True,0.13741451700876095,0.5624650392912243,0.8677564552607542,0.2711906473314229,144580646,latent+prefusion+distill+ce,,66.65,51.86,53.27,50.58,78.55,51.16,69.47,51.86,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
dic05x2d,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0005965670929369184,,0.0026517677806803834,64,0.3,0.37785342256152976,0.12890723021896916,0.1617947827920323,0.0,1.0,False,True,False,0.2654512845996929,0.3762038650697655,0.5918184652277956,0.564411068186428,144580646,latent+prefusion+distill+ce,,65.05,51.42,52.06,48.75,75.35,47.86,69.75,51.07,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
4wuus4e1,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.0004919525946897912,,0.00029876543480492876,64,0.3,0.49432558927689985,0.3739336769398811,0.11416591737839243,0.0,0.5,False,True,True,0.10036492889752728,0.9867093196115908,0.5724958342782179,0.6071421425812242,144580646,latent+prefusion+distill+ce,,67.70,51.47,52.60,49.07,74.85,52.78,71.10,52.54,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
njavzrly,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.000337494637157011,,0.005205345763494392,64,0.3,0.24459295886611307,0.21080750462896977,0.373448334783151,0.0,0.0,False,True,True,0.10321300797733306,0.6557813921275094,0.6488049366090675,0.33795933042963555,144580646,latent+prefusion+distill+ce,,64.90,52.03,52.95,50.68,75.25,50.41,69.33,51.76,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
ex0eos30,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,0.00018166779670659988,,0.008376086762091707,64,0.3,0.1921185695285424,0.11385978848780282,0.2327004546081587,0.0,0.5,False,True,False,0.2909827181630655,0.6717699506290187,0.35388623159366017,0.4100255842666639,144580646,latent+prefusion+distill+ce,,66.35,51.51,52.65,49.94,74.05,51.64,69.50,50.61,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
z2blj7sh,delulu-benv2-masking-s1s2,benv2,s1,s2,49.23,4.673260304314895e-05,,0.003575063671481569,64,0.3,0.16716140182019937,0.2048383078919444,0.11727844097648182,0.0,0.5,False,True,True,0.1831347011308365,0.309805837175086,0.8250990966534086,0.4316804320474369,144580646,latent+prefusion+distill+ce,,62.45,50.71,53.04,50.66,79.15,48.70,69.65,53.25,checkpoints/sft_evan_base_benv2_s1_fft_lr0.0005_20260418_064233.pt
