slug,run,teacher_test,val_addition,val_peeking,val_transfer,test_addition,test_peeking,test_transfer,test_ens,lr,weight_decay,lambda_latent,lambda_prefusion,lambda_distill,token_mask_ratio,labeled_frequency,modality_dropout_startmod,modality_dropout_newmod
s2norgb_to_s2rgb,pnp5fj8x,,86.20425644075652,59.67784982364726,76.48067203544942,52.8301733482459,58.9892668579066,41.7157388494858,52.49048131633971,1.947314650924244e-05,1.1705210939134189e-05,2.1229589592300133,0.9854592033326948,0.06227187910407572,0.33765797008654674,0.3627261551784551,0.3833646106131259,0.22980147853193655
s2norgb_to_s2rgb,qi9izwy8,63.58730478212191,94.43905967727878,65.41364298985904,86.99425625752725,63.9659646948705,65.45005153571162,53.91967968853536,61.8729057453822,3.4204457291971095e-05,2.21271191720807e-05,4.327937642140354,0.8536467252181426,0.5950079133139368,0.29019322583904217,0.32896763005783025,0.2637568890989318,0.40522609736103954
s2norgb_to_s2rgb,br342u9c,63.58730478212191,92.71826134733932,65.69101791707962,85.52401776729684,62.27945701517888,65.58362615905315,51.91951496967492,62.05810018277991,2.5527894858626037e-05,3.817768390969474e-05,3.934402052384564,0.21874904334317824,0.2553313505154877,0.1940746712404222,0.4783748110110878,0.3863238157845133,0.42448288163354386
s2norgb_to_s2rgb,7d6b6hyu,63.58730478212191,94.2941414173428,64.4750267182487,88.04578800472237,63.975755197321995,64.73542264389987,56.254197948156715,61.30706660361787,9.476749228819972e-05,0.0001437597167579986,1.1799699508083905,0.5137956455546849,0.941632145045262,0.7307598463958539,0.25700466101494734,0.2624063223284703,0.35915632549135446
s2norgb_to_s2rgb,x86k3j9e,63.58730478212191,95.82982556573276,64.68490303264977,89.71041356332404,64.32310597095872,64.50606614206882,57.86820988834281,62.50048808574009,0.00019151963485476736,3.6296517472324606e-05,2.1241673132276,0.4413957307462921,0.5973299641145693,0.3674226001263139,0.1555183156596356,0.2634256218997253,0.43831879310520494
s2norgb_to_s2rgb,akizv55h,63.58730478212191,93.53820924584812,64.45131393304348,87.41757777835002,61.89281853617309,64.17268366808739,55.173846561155734,62.3602172714653,0.0004083993923002715,1.974562542596321e-05,0.09768454670379234,0.43679763115982806,0.19915536913933385,0.5855944335151644,0.3383170906372318,0.3826916983882954,0.450842360983203
s2norgb_to_s2rgb,4jtrgkcq,63.58730478212191,94.97995125110928,65.21002939245764,87.3618878409055,64.7713968247729,65.04479288997439,54.72856720316454,62.21824798845118,7.313111367416653e-05,2.9171985272937164e-05,4.201683740563022,0.5244755521453404,0.9595653978249872,0.2607186741372114,0.3469928682816533,0.2761508582337078,0.4660226921757776
s2norgb_to_s2rgb,b5lpws7z,63.58730478212191,93.60489912980952,65.1889776619124,87.19273812872402,62.98997878911092,65.38158412457959,53.850535841200106,62.1843520331207,2.5888826478560062e-05,8.389917509141911e-05,1.265186314133829,0.5686283419402559,0.1732789146268442,0.5770886402916353,0.3730138315915632,0.398144299030902,0.16794544700216674
s2norgb_to_s2rgb,41j891ek,63.58730478212191,94.82797618811804,64.89829655805529,88.68066195783943,64.74486196457687,64.63866195219539,56.837737590434024,62.38043242704702,0.00029793058821904407,0.0009102064168250884,4.68727916745676,0.14024570828598215,0.6296208869010554,0.6324828811071912,0.33848843244455945,0.4669421651197674,0.20738034033216576
s2norgb_to_s2rgb,amfr453e,63.58730478212191,92.83814343187436,65.34038333039932,85.78014257713457,63.36914576055245,65.38938644400027,53.32787207331342,61.38846156209093,6.986861986168923e-05,1.1963850611869024e-05,3.649039474809536,0.600305370458808,0.16308009670503254,0.4618682598175605,0.3093703601956207,0.13562004683330087,0.41175363234938456
s2norgb_to_s2rgb,5peicb2i,63.58730478212191,94.96182021939973,65.0115358456507,89.33842718963932,64.14543417379497,64.80131822967951,56.123123402713226,62.39054968321256,0.0002298366788776417,6.172929741026284e-05,2.226012136365678,0.05264360092951781,0.2534598807479588,0.4403290626421974,0.2535906073056422,0.4015991576782485,0.19835345971606788
