model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
olmoearth-large,benv2,s2,fft,20,0.0001,0.0,32,mAP,67.0643,61.5887,307792915,checkpoints/rsfm_benv2_s2_fft_20260417_154820.pt
olmoearth-base,eurosat,s2,fft,20,0.0001,0.0,32,Acc,99.2222,98.9444,88963594,checkpoints/rsfm_eurosat_s2_fft_20260417_154934.pt
olmoearth-base,eurosat,swir,fft,20,0.0001,0.01,32,Acc,93.1852,93.5741,88963594,checkpoints/rsfm_eurosat_swir_fft_20260417_155244.pt
olmoearth-base,benv2,s2,fft,20,0.0001,0.0,32,mAP,67.5147,64.3286,88970515,checkpoints/rsfm_benv2_s2_fft_20260417_155327.pt
olmoearth-base,eurosat,nir,fft,20,0.0001,0.01,32,Acc,92.1852,93.037,88963594,checkpoints/rsfm_eurosat_nir_fft_20260417_155449.pt
olmoearth-base,eurosat,vre,fft,20,0.0001,0.0,32,Acc,95.7037,95.2037,88963594,checkpoints/rsfm_eurosat_vre_fft_20260417_155713.pt
olmoearth-base,benv2,s1,fft,20,0.0001,0.0,32,mAP,56.7506,56.0799,88970515,checkpoints/rsfm_benv2_s1_fft_20260417_155853.pt
olmoearth-base,benv2,s2s1,fft,20,0.001,0.01,32,mAP,68.9602,64.7962,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260417_161501.pt
olmoearth-base,eurosat,swir,fft,20,0.0001,0.0001,32,Acc,92.8889,92.7778,88963594,checkpoints/rsfm_eurosat_swir_fft_20260417_161712.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.001,0.01,32,mAP,66.4573,59.7036,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260417_161733.pt
olmoearth-base,eurosat,nir,fft,20,0.0001,0.0001,32,Acc,92.4074,92.6667,88963594,checkpoints/rsfm_eurosat_nir_fft_20260417_161916.pt
olmoearth-large,benv2,s1,fft,20,0.0001,0.0001,32,mAP,57.5609,54.6237,307792915,checkpoints/rsfm_benv2_s1_fft_20260417_162022.pt
olmoearth-large,benv2,s2s1,fft,20,0.0001,0.0001,32,mAP,66.496,65.1891,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260417_162311.pt
olmoearth-large,eurosat,vre,fft,20,0.0005,0.0001,32,Acc,96.3333,96.1481,307783690,checkpoints/rsfm_eurosat_vre_fft_20260417_163413.pt
