dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init,num_time_steps,decoder,train_aug,train_split
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,107342600,24,52.69,51.42,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_195926.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.0,108915464,24,57.96,58.16,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_194509.pt,clstoken,True,12,linear,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,107342600,24,52.98,51.87,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_195957.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,108718856,24,56.05,55.73,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_200023.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.01,107342600,24,45.42,44.87,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_200031.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.01,108915464,24,48.78,47.63,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_200036.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.0,108718856,24,50.84,50.19,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_200114.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0001,0.0,108915464,24,48.69,47.69,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0001_20260820_200114.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0001,0.01,108718856,24,51.04,50.43,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0001_20260820_200112.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,108915464,24,54.40,54.33,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_200111.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.01,108915464,24,55.29,55.33,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_200121.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.01,148054536,24,63.45,64.08,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_194556.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.0,146678280,24,64.05,64.73,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_194541.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0001,0.0,107342600,24,46.27,45.54,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0001_20260820_200155.pt,clstoken,False,12,linear,none,split1
dfc2020,evan_base,s2_rgb+s1,fft,32,fft,0.0005,0.01,146678280,24,64.23,65.00,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s1_fft_lr0.0005_20260820_194541.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_rgb+s2_norgb,fft,32,fft,0.0005,0.0,148251144,24,65.26,65.87,mIoU,checkpoints/sft_evan_base_dfc2020_s2_rgb+s2_norgb_fft_lr0.0005_20260820_194714.pt,clstoken,True,12,upernet,none,full
dfc2020,evan_base,s2_norgb+s1,fft,32,fft,0.0005,0.0,148054536,24,63.60,64.46,mIoU,checkpoints/sft_evan_base_dfc2020_s2_norgb+s1_fft_lr0.0005_20260820_194642.pt,clstoken,True,12,upernet,none,full
