dataset,model_type,modality,train_mode,tz_lora_rank,tz_modality_specific_layer_augmenter,learning_rate,weight_decay,trainable_params,epoch,test_metric,val_metric,metric_name,saved_checkpoint,global_rep,dino_init
eurosat,evan_base,rgb+swir,fft,32,fft,0.0005,0.01,107540746,24,87.81,87.67,Acc,checkpoints/sft_evan_base_eurosat_rgb+swir_fft_lr0.0005_20260424_003129.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0005,0.01,107344138,24,98.52,98.48,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0005_20260424_003324.pt,clstoken,True
eurosat,evan_base,rgb+nir,fft,32,fft,0.0001,0.01,107344138,24,98.63,98.44,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0001_20260424_004002.pt,clstoken,True
eurosat,evan_base,rgb+nir,fft,32,fft,0.0005,0.0,107344138,24,98.76,98.52,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0005_20260424_004109.pt,clstoken,True
eurosat,evan_base,rgb+nir,fft,32,fft,0.0001,0.0,107344138,24,98.48,98.33,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0001_20260424_004418.pt,clstoken,True
eurosat,evan_base,rgb+vre,fft,32,fft,0.0005,0.0,107540746,24,98.63,98.70,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0005_20260424_004409.pt,clstoken,True
eurosat,evan_base,rgb+vre,fft,32,fft,0.0005,0.01,107540746,24,98.57,98.74,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0005_20260424_004531.pt,clstoken,True
eurosat,evan_base,rgb+nir,fft,32,fft,0.0005,0.0,107344138,24,87.96,86.96,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0005_20260424_004741.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0001,0.01,107344138,24,89.04,88.59,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0001_20260424_004818.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0001,0.0,107344138,24,89.07,88.59,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0001_20260424_004817.pt,clstoken,False
eurosat,evan_base,rgb+nir,fft,32,fft,0.0005,0.01,107344138,24,87.59,87.04,Acc,checkpoints/sft_evan_base_eurosat_rgb+nir_fft_lr0.0005_20260424_004747.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0001,0.01,107540746,24,98.78,98.22,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0001_20260424_004858.pt,clstoken,True
eurosat,evan_base,rgb+vre,fft,32,fft,0.0005,0.01,107540746,24,87.74,87.59,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0005_20260424_005017.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0005,0.0,107540746,24,87.96,87.22,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0005_20260424_005120.pt,clstoken,False
eurosat,evan_base,rgb+vre,fft,32,fft,0.0001,0.0,107540746,24,89.28,88.78,Acc,checkpoints/sft_evan_base_eurosat_rgb+vre_fft_lr0.0001_20260424_005318.pt,clstoken,False
