model_type,modality,train_mode,learning_rate,weight_decay,trainable_params,epochs,lambda_u,lambda_e,ema_momentum,temperature,use_quantile,clip_thresh,no_strong_aug,metric_name,test_metric,best_val_metric,best_val_test_metric,saved_checkpoint,global_rep,use_dino_weights,use_s2dino_weights
evan_large,rgb,fft,0.0004,0.0001,303164426,20,1.0,0.05,0.99,1.0,False,True,False,Acc,98.09,97.59,98.04,checkpoints/evan_freematch_eurosat_rgb_20260727_123726.pt,clstoken,True,False
evan_base,swir,fft,0.0004,0.0001,85677322,20,1.0,0.05,0.99,1.0,False,True,True,Acc,88.74,88.93,88.98,checkpoints/evan_freematch_eurosat_swir_20260727_135337.pt,clstoken,True,False
evan_large,swir,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.99,1.0,False,True,True,Acc,93.83,93.48,94.19,checkpoints/evan_freematch_eurosat_swir_20260727_130206.pt,clstoken,True,False
evan_large,rgb,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.99,1.0,False,True,True,Acc,97.65,97.04,96.87,checkpoints/evan_freematch_eurosat_rgb_20260727_130707.pt,clstoken,True,False
evan_large,vre,fft,0.0004,0.0001,303164426,20,1.0,0.01,0.99,1.0,False,True,True,Acc,95.33,95.19,95.30,checkpoints/evan_freematch_eurosat_vre_20260727_130825.pt,clstoken,True,False
evan_large,nir,fft,0.0004,0.0001,302902282,20,1.0,0.01,0.99,1.0,False,True,True,Acc,90.26,90.00,89.54,checkpoints/evan_freematch_eurosat_nir_20260727_130909.pt,clstoken,True,False
evan_base,rgb,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.999,1.0,False,True,False,Acc,91.98,96.70,96.94,checkpoints/evan_freematch_eurosat_rgb_20260727_142129.pt,clstoken,True,False
evan_base,rgb,fft,0.0003,0.0001,85677322,20,1.0,0.01,0.99,1.0,False,True,False,Acc,97.65,97.26,97.65,checkpoints/evan_freematch_eurosat_rgb_20260727_145859.pt,clstoken,True,False
evan_large,nir,fft,0.0004,0.0001,302902282,20,1.0,0.05,0.999,1.0,False,True,False,Acc,81.13,80.44,81.13,checkpoints/evan_freematch_eurosat_nir_20260727_141202.pt,clstoken,True,False
evan_large,swir,fft,0.0004,0.0001,303164426,20,1.0,0.05,0.999,1.0,False,True,True,Acc,92.50,91.81,92.37,checkpoints/evan_freematch_eurosat_swir_20260727_144438.pt,clstoken,True,False
